"slowly_7d","8. Moving or speaking so slowly that other people could","0, Not at all | 1, Several days | 2, More than half the days | 3, Nearly every day"
"deaddying_7d","9. Thoughts that you would be better o"" dead or of","0, Not at all | 1, Several days | 2, More than half the days | 3, Nearly every day"
"phq_calc_7d","#adm","1, 1- Not difficult at all | 2, 2- Somewhat difficult | 3, 3- Very difficult | 4, 4- Extremely difficult descriptive descriptive"
"eq5d_mb_5l_uk_eng_7d","MOBILITY","1, I have no problems in walking about | 2, I have slight problems in walking about | 3, I have moderate problems in walking about | 4, I have severe problems in walking about | 5, I am unable to walk about"
"eq5d_sc_5l_uk_eng_7d","SELF-CARE","1, I have no problems washing or dressing myself | 2, I have slight problems washing or dressing myself | 3, I have moderate problems washing or dressing myself | 4, I have severe problems washing or dressing myself | 5, I am unable to wash or dress myself"
"eq5d_ua_5l_uk_eng_7d","USUAL ACTIVITIES (e.g. work, study, housework, family or","1, I have no problems doing my usual activities | 2, I have slight problems doing my usual activities | 3, I have moderate problems doing my usual activities | 4, I have severe problems doing my usual activities | 5, I am unable to do my usual activities"
"eq5d_pd_5l_uk_eng_7d","PAIN / DISCOMFORT","1, I have no pain or discomfort | 2, I have slight pain or discomfort | 3, I have moderate pain or discomfort | 4, I have severe pain or discomfort | 5, I have extreme pain or discomfort"
"eq5d_ad_5l_uk_eng_7d","ANXIETY / DEPRESSION","1, I am not anxious or depressed | 2, I am slightly anxious or depressed | 3, I am moderately anxious or depressed | 4, I am severely anxious or depressed | 5, I am extremely anxious or depressed | 0, - The worst health you can imagine , | 100, - The best health you can imagine"
"spain_7d","","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"tight_7d","In the past 7 days, did you feel bloated (your stomach","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"nois_7d","In the past 7 days, did your stomach make noises?","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"gas7_7d","In the past 7 days, did you pass gas?","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"samllgas_7d","In the past 7 days, when you passed gas did it smell very","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"nauseas_7d","In the past 7 days, did you feel sick (but didn't actually","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"appetitedown_7d","In the past 7 days, did you have a lack of appetite?","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"watpoo_7d","","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"rushtoil_7d","In the past 7 days, did you feel the need to rush to the","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"lightorangepoo_7d","In the past 7 days, did your poo look lighter or orange in","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"poosmell_7d","In the past 7 days, when you had a poo did it smell very","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"poofat_7d","In the past 7 days, did you see or have fat or oil in your","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"urgencytoilet_7d","In the past 7 days, did you feel you needed to be close to","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"fatfoodavoid_7d","","1, No not at all | 2, Yes a little of the time | 3, Yes sometimes | 4, Yes most of the time | 5, Yes all of the time"
"concentrationpoor_7d","In the past 7 days, did your enzyme problems affect your","1, No not at all | 2, Yes a little of the time | 3, Yes sometimes | 4, Yes most of the time | 5, Yes all of the time"
"embarrassedpoo_7d","In the past 7 days, did you feel embarrassed going to the","1, No not at all | 2, Yes a little bit | 3, Yes moderately | 4, Yes quite a bit | 5, Yes extremely"
"ansiosenzyme_7d","In the past 7 days, did you feel worried, anxious or","1, No not at all | 2, Yes a little bit | 3, Yes moderately | 4, Yes quite a bit | 5, Yes extremely radio (Matrix)"
"day7_proms_complete","","0, Incomplete | 1, Unverified | 2, Complete"
"gad1_30","","0, Not at all | 1, Several days | 2, Over half the days | 3, Nearly every day"
"gad2_30","2. Not being able to stop or control worrying","0, Not at all | 1, Several days | 2, Over half the days | 3, Nearly every day"
"gad3_30","3. Worrying too much about different things","0, Not at all | 1, Several days | 2, Over half the days | 3, Nearly every day"
"gad4_30","4. Having trouble relaxing","0, Not at all | 1, Several days | 2, Over half the days | 3, Nearly every day"
"gad5_30","5. Being so restless that it is hard to sit still","0, Not at all | 1, Several days | 2, Over half the days | 3, Nearly every day"
"gad6_30","6. Becoming easily annoyed or irritable","0, Not at all | 1, Several days | 2, Over half the days | 3, Nearly every day"
"gad7_30","7. Feeling afraid as if something awful might happen","0, Not at all | 1, Several days | 2, Over half the days | 3, Nearly every day"
"gad_difficult_30","If you checked o"" any problems, how difficult have these","0, Not difficult at all | 1, Somewhat difficult | 2, Very difficult | 3, Extremely difficult"
"littlint_30","","0, Not at all | 1, Several days | 2, More than half the days | 3, Nearly every day"
"dephop_30","2. Feeling down, depressed, or hopeless","0, Not at all | 1, Several days | 2, More than half the days | 3, Nearly every day"
"sleepy_30","3. Trouble falling or staying asleep, or sleeping too much","0, Not at all | 1, Several days | 2, More than half the days ly every day"
"triedenergy_30","4. Feeling tired or having little energy","0, Not at all | 1, Several days | 2, More than half the days | 3, Nearly every day"
"appover_30","5. Poor appetite or overeating","0, Not at all | 1, Several days | 2, More than half the days | 3, Nearly every day"
"failure_30","6. Feeling bad about yourself -- or that you are a failure","0, Not at all | 1, Several days | 2, More than half the days | 3, Nearly every day"
"trubconc_30","7. Trouble concentrating on things, such as reading the","0, Not at all | 1, Several days | 2, More than half the days | 3, Nearly every day"
"slowly_30","8. Moving or speaking so slowly that other people could","0, Not at all | 1, Several days | 2, More than half the days | 3, Nearly every day"
"deaddying_30","9. Thoughts that you would be better o"" dead or of","0, Not at all | 1, Several days | 2, More than half the days | 3, Nearly every day"
"phq_calc_30","#adm","1, 1- Not difficult at all | 2, 2- Somewhat difficult | 3, 3- Very difficult | 4, 4- Extremely difficult"
"func_1m_136","","1, Yes | 0, No"
"mo_opd_136","Have you attended an outpatient (clinic) appointment","1, Yes | 0, No"
"mo_ed_136","Have you visited Accident & Emergency (A&E) in the last","1, Yes | 0, No"
"admit_mo_136","Have you been admitted to hospital overnight in the last","1, Yes | 0, No"
"blood_yn_mo_136","blood tests","1, Yes | 0, No"
"uss_yn_mo_136","USS","1, Yes | 0, No"
"endo_yn_mo_136","endoscopy","1, Yes | 0, No"
"ct_yn_mo_136","CT scan","1, Yes | 0, No"
"mri_yn_mo_136","MRI scan","1, Yes | 0, No"
"medication_yn_mo_136","Have you taken any medications for your pancreatitis in","1, Yes | 0, No"
"eq5d_mb_5l_uk_eng_30","MOBILITY","1, I have no problems in walking about | 2, I have slight problems in walking about | 3, I have moderate problems in walking about | 4, I have severe problems in walking about | 5, I am unable to walk about"
"eq5d_sc_5l_uk_eng_30","SELF-CARE","1, I have no problems washing or dressing myself | 2, I have slight problems washing or dressing myself | 3, I have moderate problems washing or dressing myself | 4, I have severe problems washing or dressing myself | 5, I am unable to wash or dress myself"
"eq5d_ua_5l_uk_eng_30","USUAL ACTIVITIES (e.g. work, study, housework, family or","1, I have no problems doing my usual activities | 2, I have slight problems doing my usual activities | 3, I have moderate problems doing my usual activities | 4, I have severe problems doing my usual activities | 5, I am unable to do my usual activities"
"eq5d_pd_5l_uk_eng_30","PAIN / DISCOMFORT","1, I have no pain or discomfort | 2, I have slight pain or discomfort | 3, I have moderate pain or discomfort | 4, I have severe pain or discomfort | 5, I have extreme pain or discomfort"
"eq5d_ad_5l_uk_eng_30","ANXIETY / DEPRESSION","1, I am not anxious or depressed | 2, I am slightly anxious or depressed | 3, I am moderately anxious or depressed | 4, I am severely anxious or depressed | 5, I am extremely anxious or depressed | 0, - The worst health you can imagine , | 100, - The best health you can imagine"
"spain_30","","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
"tight_30","In the past 7 days, did you feel bloated (your stomach","1, No not at all | 2, Yes a little bit | 3, Yes some | 4, Yes quite a bit | 5, Yes a lot"
